"","Local.authority","year","Universal.Credit","Child.Tax.Credit","affected_population","percent_impacted","children_in_care","children_in_care_1_under","children_in_care_1_4","children_in_care_5_9","children_in_care_10_15","children_in_care_16plus","started_under_1","started_1_to_4","started_5_to_9","started_10_to_15","started_over_16","Anypoint_child_rate","Referrals_rate","under_19_population","under_5_population"
"1","BARKING AND DAGENHAM",2010,NA,NA,NA,NA,378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","BARKING AND DAGENHAM",2011,NA,NA,NA,NA,410,"22","87","76","143","82","38","54","52","73","22",NA,NA,56379,18697
"3","BARKING AND DAGENHAM",2012,NA,NA,NA,NA,427,"25","80","83","146","93","37","46","53","58","28",NA,NA,58434,19190
"4","BARKING AND DAGENHAM",2013,NA,NA,NA,NA,420,"26","71","92","148","83","43","45","50","68","39","759.1","464.1",60308,19590
"5","BARKING AND DAGENHAM",2014,NA,NA,NA,NA,458,"22","86","102","176","72","41","61","69","98","41","827.1","542.1",61940,19559
"6","BARKING AND DAGENHAM",2015,NA,NA,NA,NA,457,"19","68","98","177","95","41","47","53","86","41","841.8","688.4",63597,19541
"7","BARKING AND DAGENHAM",2016,NA,NA,NA,NA,418,"15","46","81","159","117","28","37","47","63","35","778.1","534.6",65202,19785
"8","BARKING AND DAGENHAM",2017,NA,NA,NA,NA,409,"16","53","75","154","111","31","37","35","48","44","687.5","501",65804,19457
"9","BARKING AND DAGENHAM",2018,0,"490",3772,12.9904559915164,409,"22","44","76","159","108","31","33","35","51","44","730.7","555.5",66246,18930
"10","BARKING AND DAGENHAM",2019,90,"960",7252,14.4787644787645,414,"24","40","64","159","127","33","30","22","55","61","741.8","586.2",66679,18474
"11","BARKING AND DAGENHAM",2020,610,"990",10650,15.0234741784038,402,"18","50","52","160","122","26","25","17","50","62","678.9","558.6",66945,18171
"12","BARKING AND DAGENHAM",2021,1100,"950",13412,15.284819564569,391,"21","38","51","165","116","36","17","18","49","65","748.8","614.2",66474,17077
"13","BARKING AND DAGENHAM",2022,1560,"900",16975,14.4918998527246,412,"16","53","57","177","109","24","28","31","58","55","933.3","970.1",66764,16975
"14","BARKING AND DAGENHAM",2023,2000,"810",20889,13.4520561060845,429,"26","46","57","183","117","40","37","32","77","63","774.7","869.5",67635,17262
"15","BARKING AND DAGENHAM",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"694","721.2",NA,NA
"16","BARNET",2010,NA,NA,NA,NA,311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BARNET",2011,NA,NA,NA,NA,304,"11","36","45","134","78","22","14","19","51","15",NA,NA,87262,26264
"18","BARNET",2012,NA,NA,NA,NA,300,"18","32","42","131","77","29","21","27","56","21",NA,NA,89211,27107
"19","BARNET",2013,NA,NA,NA,NA,310,"21","33","45","123","88","32","21","29","64","23","498.3","379.1",90018,26990
"20","BARNET",2014,NA,NA,NA,NA,309,"14","32","40","128","95","23","19","19","63","42","488.2","410.5",91028,27003
"21","BARNET",2015,NA,NA,NA,NA,302,"8","33","41","122","98","18","33","20","55","47","445.7","387.2",91482,26559
"22","BARNET",2016,NA,NA,NA,NA,314,"13","27","45","127","102","20","28","26","71","36","473.3","399.5",92378,26319
"23","BARNET",2017,NA,NA,NA,NA,344,"15","24","39","128","138","28","11","23","73","68","464.4","377.3",92863,25767
"24","BARNET",2018,0,"360",5150,6.99029126213592,328,"20","22","29","121","136","32","9","15","56","60","532.3","437.4",93476,25530
"25","BARNET",2019,40,"820",9915,8.6737266767524,312,"18","28","38","112","116","27","18","20","40","55","475.2","385.9",93623,25061
"26","BARNET",2020,350,"1010",14708,9.24666847973892,327,"18","34","43","113","119","26","19","25","57","63","414.5","314.1",94011,24753
"27","BARNET",2021,700,"1060",19017,9.25487721512331,323,"14","28","36","116","129","22","12","8","39","53","384.3","280",93590,23930
"28","BARNET",2022,1030,"1040",24144,8.57355864811133,333,"16","39","47","109","122","24","22","25","60","66","402.2","323.6",95350,24144
"29","BARNET",2023,1400,"990",29247,8.17177830204807,334,"21","32","54","101","126","26","23","20","55","61","424.8","307.2",96992,24183
"30","BARNET",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"426.8","308.3",NA,NA
"31","BARNSLEY",2010,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","BARNSLEY",2011,NA,NA,NA,NA,246,"18","50","43","83","52","28","14","13","22","13",NA,NA,51741,14055
"33","BARNSLEY",2012,NA,NA,NA,NA,227,"19","54","32","70","53","35","27","19","14","15",NA,NA,51850,14312
"34","BARNSLEY",2013,NA,NA,NA,NA,234,"28","58","32","64","52","38","26","19","18","8","468.5","457.8",51910,14413
"35","BARNSLEY",2014,NA,NA,NA,NA,228,"19","57","43","64","45","24","19","12","16","15","442.5","357.2",51954,14443
"36","BARNSLEY",2015,NA,NA,NA,NA,241,"17","48","56","81","39","25","33","27","32","11","559.9","610.9",52041,14443
"37","BARNSLEY",2016,NA,NA,NA,NA,278,"25","50","72","90","41","46","44","35","34","11","628.2","609.7",51967,14273
"38","BARNSLEY",2017,NA,NA,NA,NA,289,"24","53","65","111","36","38","29","32","x","x","581","435.2",51998,14049
"39","BARNSLEY",2018,10,"300",2711,11.4348948727407,310,"31","52","84","107","36","40","30","32","c","c","617.2","500.3",52019,13828
"40","BARNSLEY",2019,140,"490",5327,11.826544021025,301,"25","53","66","110","47","31","32","18","c","c","646.4","537.4",52156,13725
"41","BARNSLEY",2020,490,"480",7981,12.1538654303972,300,"44","47","63","107","39","61","27","20","c","c","701.9","551.3",52353,13574
"42","BARNSLEY",2021,770,"450",10513,11.6046799200989,330,"29","66","76","119","40","35","42","36","37","8","787","544.8",52496,13357
"43","BARNSLEY",2022,1060,"400",13358,10.9297799071717,348,"26","68","67","126","61","42","54","32","25","19","753","560.6",53207,13358
"44","BARNSLEY",2023,1350,"360",16155,10.5849582172702,400,"39","65","66","148","82","51","38","27","48","32","657.9","600.8",53740,13375
"45","BARNSLEY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"646.9","610",NA,NA
"46","BATH AND NORTH EAST SOMERSET",2010,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","BATH AND NORTH EAST SOMERSET",2011,NA,NA,NA,NA,161,"6","17","30","61","47","8","7","10","20","11",NA,NA,36091,9231
"48","BATH AND NORTH EAST SOMERSET",2012,NA,NA,NA,NA,164,"9","20","26","63","46","17","14","17","24","14",NA,NA,36178,9295
"49","BATH AND NORTH EAST SOMERSET",2013,NA,NA,NA,NA,140,"x","17","25","63","31","8","17","10","20","7","588.5","345.2",36280,9382
"50","BATH AND NORTH EAST SOMERSET",2014,NA,NA,NA,NA,148,"7","20","25","71","25","10","22","13","25","7","552.6","320.8",36480,9376
"51","BATH AND NORTH EAST SOMERSET",2015,NA,NA,NA,NA,131,"x","x","22","60","37","x","15","7","18","x","563.9","299.2",36950,9440
"52","BATH AND NORTH EAST SOMERSET",2016,NA,NA,NA,NA,147,"11","13","21","63","39","17","7","9","20","11","549.7","324.7",37491,9427
"53","BATH AND NORTH EAST SOMERSET",2017,NA,NA,NA,NA,160,"10","17","28","65","40","16","14","17","17","17","454.2","330.5",37660,9250
"54","BATH AND NORTH EAST SOMERSET",2018,40,"70",1703,6.45918966529654,169,"10","24","24","69","42","13","11","10","20","16","500","359.3",37929,9092
"55","BATH AND NORTH EAST SOMERSET",2019,110,"140",3441,7.26532984597501,192,"12","29","34","75","42","15","19","21","28","7","439","284",38147,9002
"56","BATH AND NORTH EAST SOMERSET",2020,240,"140",5208,7.29646697388633,180,"7","27","28","79","39","12","13","10","28","10","421.7","261",38408,8965
"57","BATH AND NORTH EAST SOMERSET",2021,360,"140",7121,7.02148574638393,179,"7","20","27","82","43","10","7","9","15","11","412.3","241.5",38387,8996
"58","BATH AND NORTH EAST SOMERSET",2022,410,"120",9019,5.87648298037476,196,"c","c","35","86","48","9","16","16","18","18","416.4","247.8",38963,9019
"59","BATH AND NORTH EAST SOMERSET",2023,530,"110",10796,5.92812152649129,228,"6","23","37","92","70","9","14","11","28","33","449.5","295.6",39272,8849
"60","BATH AND NORTH EAST SOMERSET",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"420.8","225.2",NA,NA
"61","BEDFORD",2011,NA,NA,NA,NA,163,"11","29","15","67","41","15","16","17","20","11",NA,NA,37942,10102
"62","BEDFORD",2012,NA,NA,NA,NA,216,"21","48","40","60","47","28","26","29","27","10",NA,NA,38491,10560
"63","BEDFORD",2013,NA,NA,NA,NA,247,"21","57","51","61","57","29","30","22","42","12","678.3","407.8",39049,10801
"64","BEDFORD",2014,NA,NA,NA,NA,268,"20","56","62","73","57","29","12","17","27","17","610.9","332.5",39877,10963
"65","BEDFORD",2015,NA,NA,NA,NA,252,"12","36","66","96","42","16","22","19","45","16","684.6","278.2",40371,11056
"66","BEDFORD",2016,NA,NA,NA,NA,253,"14","44","52","87","56","27","31","18","21","24","610.9","333.4",41117,11302
"67","BEDFORD",2017,NA,NA,NA,NA,265,"18","34","49","97","67","27","21","23","27","32","532.3","358.5",41579,11183
"68","BEDFORD",2018,20,"190",2267,9.26334362593736,239,"21","20","38","104","56","29","7","14","25","27","579.4","395.1",42316,11296
"69","BEDFORD",2019,80,"350",4382,9.81287083523505,232,"14","23","30","116","49","22","16","11","22","24","499.8","365.4",42739,11219
"70","BEDFORD",2020,320,"370",6550,10.5343511450382,253,"29","21","30","113","60","37","12","14","21","24","523.5","429.4",43024,11136
"71","BEDFORD",2021,510,"340",8807,9.65141364823436,272,"21","42","43","106","60","28","28","21","18","19","519.1","346.6",43577,11076
"72","BEDFORD",2022,620,"310",11204,8.30060692609782,272,"15","43","36","104","74","22","13","11","29","26","514.2","448.9",44379,11204
"73","BEDFORD",2023,880,"290",13642,8.5764550652397,273,"18","37","40","94","84","24","c","c","20","20","482.2","372.8",45238,11173
"74","BEDFORD",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"483.6","396.1",NA,NA
"75","BEDFORD BOROUGH",2010,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","BEXLEY",2010,NA,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","BEXLEY",2011,NA,NA,NA,NA,213,"13","29","36","71","64","19","14","18","40","34",NA,NA,57425,15277
"78","BEXLEY",2012,NA,NA,NA,NA,239,"15","41","49","77","57","19","30","28","38","25",NA,NA,57847,15670
"79","BEXLEY",2013,NA,NA,NA,NA,256,"20","48","47","92","49","26","26","20","52","28","586.7","597.5",58047,15641
"80","BEXLEY",2014,NA,NA,NA,NA,254,"13","43","44","102","52","26","24","33","50","30","667.7","713",58686,15981
"81","BEXLEY",2015,NA,NA,NA,NA,275,"17","34","56","111","57","23","29","41","51","24","540.7","514.3",58972,16077
"82","BEXLEY",2016,NA,NA,NA,NA,259,"11","17","30","107","94","20","25","19","49","51","504.1","544.5",59540,16057
"83","BEXLEY",2017,NA,NA,NA,NA,238,"9","13","28","101","87","17","15","19","38","33","482.6","554.5",59288,15627
"84","BEXLEY",2018,0,"200",3093,6.46621403168445,240,"11","22","31","91","85","22","19","17","29","40","525.5","580.7",59438,15597
"85","BEXLEY",2019,40,"430",6074,7.73789924267369,227,"c","c","22","92","94","7","8","13","21","47","493.9","496.6",59652,15531
"86","BEXLEY",2020,300,"450",9034,8.30197033429267,221,"8","21","22","81","89","13","22","18","28","41","528.4","492.5",59659,15329
"87","BEXLEY",2021,560,"440",11786,8.48464279653827,234,"10","30","29","82","83","13","20","18","33","27","523.1","565.2",59435,14867
"88","BEXLEY",2022,760,"390",14915,7.71035869929601,233,"11","28","33","86","75","16","16","20","30","34","585.8","640.3",59872,14915
"89","BEXLEY",2023,1010,"340",18089,7.46309912101277,265,"10","36","47","101","71","17","14","25","36","36","636.8","712.8",60700,14953
"90","BEXLEY",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"566.3","625.5",NA,NA
"91","BIRMINGHAM",2010,NA,NA,NA,NA,2033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","BIRMINGHAM",2011,NA,NA,NA,NA,1901,"110","359","384","720","328","148","128","118","172","36",NA,NA,290013,82111
"93","BIRMINGHAM",2012,NA,NA,NA,NA,1896,"132","364","358","714","328","184","126","97","188","61",NA,NA,293068,84201
"94","BIRMINGHAM",2013,NA,NA,NA,NA,1892,"113","364","353","727","335","165","136","103","213","91","501.6","511.2",296351,85342
"95","BIRMINGHAM",2014,NA,NA,NA,NA,1801,"107","307","347","668","372","161","116","108","185","83","528.9","491.6",298861,85428
"96","BIRMINGHAM",2015,NA,NA,NA,NA,1989,"121","303","434","720","411","181","170","180","264","140","627.9","688.3",301816,85750
"97","BIRMINGHAM",2016,NA,NA,NA,NA,1814,"73","259","398","694","390","116","113","130","231","120","578.8","455.1",305100,85697
"98","BIRMINGHAM",2017,NA,NA,NA,NA,1841,"101","213","374","733","420","137","131","119","218","135","559.2","602.1",306955,84545
"99","BIRMINGHAM",2018,20,"2690",15944,16.9969894631209,1921,"110","251","350","739","471","138","127","106","208","174","573.8","597.9",307266,82374
"100","BIRMINGHAM",2019,620,"5350",31284,19.0832374376678,1945,"107","267","352","728","491","136","82","107","178","161","534.4","512.3",306848,80232
"101","BIRMINGHAM",2020,3100,"5940",45758,19.7561082215132,1915,"103","287","361","741","423","140","83","107","174","127","505.3","455.9",305725,77807
"102","BIRMINGHAM",2021,5400,"5960",58538,19.406197683556,1922,"109","321","358","748","386","151","87","83","116","122","478.9","491.4",303201,74310
"103","BIRMINGHAM",2022,7610,"5880",73923,18.2487182608931,2100,"109","372","399","787","433","147","110","127","205","177","534.4","547.4",304718,73923
"104","BIRMINGHAM",2023,10110,"5450",90005,17.2879284484195,2201,"111","381","379","809","521","146","83","82","171","219","522.1","614.7",306873,74579
"105","BIRMINGHAM",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"529.3","622",NA,NA
"106","BLACKBURN WITH DARWEN",2010,NA,NA,NA,NA,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","BLACKBURN WITH DARWEN",2011,NA,NA,NA,NA,366,"20","80","84","118","64","25","30","21","38","x",NA,NA,40609,11261
"108","BLACKBURN WITH DARWEN",2012,NA,NA,NA,NA,358,"19","85","93","115","46","27","44","36","29","x",NA,NA,40942,11435
"109","BLACKBURN WITH DARWEN",2013,NA,NA,NA,NA,345,"19","93","85","117","31","33","38","25","25","x","861.3","492.7",41129,11396
"110","BLACKBURN WITH DARWEN",2014,NA,NA,NA,NA,343,"25","79","97","117","25","37","38","27","20","x","727.9","435",41012,11231
"111","BLACKBURN WITH DARWEN",2015,NA,NA,NA,NA,316,"18","60","81","121","36","28","26","x","22","x","806.5","543.3",41140,11175
"112","BLACKBURN WITH DARWEN",2016,NA,NA,NA,NA,348,"22","58","84","136","48","35","43","38","45","10","742.8","520.4",41396,11044
"113","BLACKBURN WITH DARWEN",2017,NA,NA,NA,NA,369,"20","75","85","136","53","31","46","35","33","13","779.6","661.3",41812,10836
"114","BLACKBURN WITH DARWEN",2018,0,"300",1980,15.1515151515152,375,"25","69","83","137","61","33","40","32","31","26","817.6","584",41714,10523
"115","BLACKBURN WITH DARWEN",2019,120,"610",4039,18.073780638772,400,"39","84","71","142","64","52","41","32","31","16","830.6","679.2",41959,10521
"116","BLACKBURN WITH DARWEN",2020,430,"710",5943,19.1822311963655,411,"24","88","88","153","58","34","42","32","35","8","693.4","507",42006,10256
"117","BLACKBURN WITH DARWEN",2021,710,"730",7936,18.1451612903226,374,"18","78","77","139","62","25","22","c","21","c","604.1","402.8",41963,10034
"118","BLACKBURN WITH DARWEN",2022,970,"730",9963,17.0631335942989,387,"22","78","83","136","68","35","29","21","25","10","555.7","423.6",42181,9963
"119","BLACKBURN WITH DARWEN",2023,1240,"710",12115,16.0957490713991,355,"19","63","68","122","83","36","28","19","25","23","599.1","438.1",42625,10026
"120","BLACKBURN WITH DARWEN",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"653.9","592.2",NA,NA
"121","BLACKPOOL",2010,NA,NA,NA,NA,374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","BLACKPOOL",2011,NA,NA,NA,NA,396,"22","115","72","140","47","34","37","17","41","8",NA,NA,30672,8212
"123","BLACKPOOL",2012,NA,NA,NA,NA,434,"34","109","88","144","59","41","27","23","45","12",NA,NA,30825,8463
"124","BLACKPOOL",2013,NA,NA,NA,NA,483,"48","116","105","142","72","59","56","35","38","16","937.8","1093.5",30759,8460
"125","BLACKPOOL",2014,NA,NA,NA,NA,443,"33","109","100","139","62","47","39","27","33","13","1044.8","1132.6",30392,8329
"126","BLACKPOOL",2015,NA,NA,NA,NA,454,"35","89","105","143","82","46","44","37","45","21","1219.2","1067.2",30291,8359
"127","BLACKPOOL",2016,NA,NA,NA,NA,470,"37","78","122","152","81","59","47","51","53","20","1321.1","885.8",30019,8283
"128","BLACKPOOL",2017,NA,NA,NA,NA,525,"40","76","130","200","79","58","48","56","91","14","1491.5","1235.1",29997,8197
"129","BLACKPOOL",2018,0,"210",1607,13.0678282514001,533,"42","73","125","211","82","55","43","46","56","10","1249.4","971.9",30001,8089
"130","BLACKPOOL",2019,110,"410",3151,16.5026975563313,568,"49","83","114","238","84","66","35","37","42","16","1279.8","1042.5",30099,8008
"131","BLACKPOOL",2020,390,"390",4595,16.974972796518,653,"56","105","124","267","101","69","60","37","60","16","1393","1335.3",29758,7696
"132","BLACKPOOL",2021,600,"350",5747,16.5303636680007,609,"51","113","110","234","101","64","43","36","c","c","1190.7","968.6",29233,7299
"133","BLACKPOOL",2022,780,"320",7362,14.9415919587069,609,"41","120","120","231","97","59","40","33","36","10","1222.5","1122.3",29871,7362
"134","BLACKPOOL",2023,990,"290",9091,14.079859201408,539,"35","96","98","217","93","50","28","29","44","30","1172","851.5",30322,7532
"135","BLACKPOOL",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1086.1","758.5",NA,NA
"136","BLAENAU GWENT",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15341,4001
"137","BLAENAU GWENT",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15051,4011
"138","BLAENAU GWENT",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14850,3979
"139","BLAENAU GWENT",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14609,3952
"140","BLAENAU GWENT",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14437,3838
"141","BLAENAU GWENT",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14259,3765
"142","BLAENAU GWENT",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14032,3703
"143","BLAENAU GWENT",2018,NA,NA,740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14006,3678
"144","BLAENAU GWENT",2019,NA,NA,1461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13887,3615
"145","BLAENAU GWENT",2020,NA,NA,2165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13824,3576
"146","BLAENAU GWENT",2021,NA,NA,2790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13779,3472
"147","BLAENAU GWENT",2022,NA,NA,3507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13782,3507
"148","BLAENAU GWENT",2023,NA,NA,4295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14026,3553
"149","BOLTON",2010,NA,NA,NA,NA,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","BOLTON",2011,NA,NA,NA,NA,519,"40","138","112","171","58","55","45","25","36","7",NA,NA,68201,18897
"151","BOLTON",2012,NA,NA,NA,NA,517,"39","137","115","173","53","47","42","28","43","x",NA,NA,69105,19428
"152","BOLTON",2013,NA,NA,NA,NA,539,"44","135","132","164","64","52","39","35","40","6","591.5","651.9",69678,19666
"153","BOLTON",2014,NA,NA,NA,NA,531,"46","109","134","173","69","54","29","22","30","11","686.3","722.5",70146,19695
"154","BOLTON",2015,NA,NA,NA,NA,571,"35","122","165","185","64","59","54","51","37","8","671.5","656.7",71085,19673
"155","BOLTON",2016,NA,NA,NA,NA,562,"36","102","151","192","81","48","33","38","33","10","671.9","658.4",71800,19616
"156","BOLTON",2017,NA,NA,NA,NA,579,"37","114","137","214","77","56","49","35","50","10","604.1","643.2",72950,19568
"157","BOLTON",2018,0,"500",3600,13.8888888888889,615,"46","115","153","217","84","64","37","37","48","15","573","585.4",73412,19270
"158","BOLTON",2019,190,"1040",7293,16.8654874537227,644,"50","120","142","243","89","72","36","29","44","19","587.6","586.7",74417,19054
"159","BOLTON",2020,790,"1140",11032,17.4945612762872,632,"38","103","144","265","82","55","40","41","41","20","657","593",74896,18802
"160","BOLTON",2021,1300,"1140",14428,16.9115608538952,617,"32","91","133","267","94","46","49","47","53","19","777.3","726.6",74994,18265
"161","BOLTON",2022,1790,"1100",18471,15.6461480158086,544,"25","67","102","247","103","32","26","30","47","22","737","794.7",76351,18471
"162","BOLTON",2023,2300,"1030",22732,14.6489530177723,562,"31","72","90","247","122","47","43","30","49","24","761.9","764.5",77686,18862
"163","BOLTON",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"666.5","512.9",NA,NA
"164","BOURNEMOUTH",2010,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","BOURNEMOUTH",2011,NA,NA,NA,NA,202,"18","35","31","69","49","27","25","22","17","7",NA,NA,NA,NA
"166","BOURNEMOUTH",2012,NA,NA,NA,NA,251,"27","47","45","77","55","38","33","23","36","11",NA,NA,NA,NA
"167","BOURNEMOUTH",2013,NA,NA,NA,NA,265,"23","53","42","91","56","36","37","30","35","23","x","x",NA,NA
"168","BOURNEMOUTH",2014,NA,NA,NA,NA,279,"19","54","46","106","54","28","34","13","45","10","x","x",NA,NA
"169","BOURNEMOUTH",2015,NA,NA,NA,NA,259,"19","43","35","113","49","32","46","20","32","16","x","x",NA,NA
"170","BOURNEMOUTH",2016,NA,NA,NA,NA,258,"15","43","35","118","47","30","23","22","34","6","x","x",NA,NA
"171","BOURNEMOUTH",2017,NA,NA,NA,NA,238,"15","26","40","104","53","19","22","17","24","13","x","x",NA,NA
"172","BOURNEMOUTH",2018,NA,NA,NA,NA,246,"17","35","31","96","67","22","22","10","19","20","x","x",NA,NA
"173","BOURNEMOUTH",2019,NA,NA,NA,NA,248,"16","34","37","81","80","26","21","14","24","14","x","x",NA,NA
"174","BOURNEMOUTH",2020,NA,NA,NA,NA,NA,"z","z","z","z","z","z","z","z","z","z",NA,NA,NA,NA
"175","BOURNEMOUTH",2021,NA,NA,NA,NA,NA,"z","z","z","z","z","z","z","z","z","z",NA,NA,NA,NA
"176","BOURNEMOUTH",2022,NA,NA,NA,NA,NA,"z","z","z","z","z","z","z","z","z","z",NA,NA,NA,NA
"177","BOURNEMOUTH",2023,NA,NA,NA,NA,NA,"z","z","z","z","z","z","z","z","z","z",NA,NA,NA,NA
"178","BOURNEMOUTH CHRISTCHURCH AND POOLE",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73970,20975
"179","BOURNEMOUTH CHRISTCHURCH AND POOLE",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74588,21472
"180","BOURNEMOUTH CHRISTCHURCH AND POOLE",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74962,21468
"181","BOURNEMOUTH CHRISTCHURCH AND POOLE",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75671,21468
"182","BOURNEMOUTH CHRISTCHURCH AND POOLE",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76161,21427
"183","BOURNEMOUTH CHRISTCHURCH AND POOLE",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76802,21399
"184","BOURNEMOUTH CHRISTCHURCH AND POOLE",2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76933,20813
"185","BOURNEMOUTH CHRISTCHURCH AND POOLE",2018,0,"NaN",3820,NA,NA,"z","z","z","z","z","z","z","z","z","z",NA,NA,76853,20275
"186","BOURNEMOUTH CHRISTCHURCH AND POOLE",2019,100,"NaN",7502,NA,NA,"z","z","z","z","z","z","z","z","z","z",NA,NA,76939,19716
"187","BOURNEMOUTH CHRISTCHURCH AND POOLE",2020,480,"NaN",11019,NA,506,"29","62","75","184","156","37","33","30","69","57","598.6","468.6",77092,19092
"188","BOURNEMOUTH CHRISTCHURCH AND POOLE",2021,800,"470",14802,8.57992163221186,431,"20","46","69","160","136","36","29","27","45","38","752.5","584",77514,18796
"189","BOURNEMOUTH CHRISTCHURCH AND POOLE",2022,1060,"440",18463,8.12435682175161,489,"26","49","69","174","171","40","26","26","69","73","858.4","790.6",78282,18463
"190","BOURNEMOUTH CHRISTCHURCH AND POOLE",2023,1310,"390",22100,7.69230769230769,516,"28","45","88","199","156","39","40","45","75","60","795.2","573.9",78793,18185
"191","BOURNEMOUTH CHRISTCHURCH AND POOLE",2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"715.6","532.4",NA,NA
"192","BRACKNELL FOREST",2010,NA,NA,NA,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","BRACKNELL FOREST",2011,NA,NA,NA,NA,87,"x","9","10","38","27","x","8","x","20","x",NA,NA,28087,8078
"194","BRACKNELL FOREST",2012,NA,NA,NA,NA,100,"6","18","15","45","16","9","13","9","19","x",NA,NA,28359,8112
"195","BRACKNELL FOREST",2013,NA,NA,NA,NA,103,"6","16","17","43","21","8","7","11","14","8","431","409.4",28579,8136
"196","BRACKNELL FOREST",2014,NA,NA,NA,NA,113,"10","13","20","46","24","18","8","9","15","x","499.5","419.4",28866,8051
"197","BRACKNELL FOREST",2015,NA,NA,NA,NA,104,"x","x","16","47","24","x","8","12","17","x","497.7","386.7",29096,7917
"198","BRACKNELL FOREST",2016,NA,NA,NA,NA,98,"x","8","14","43","29","8","12","12","17","11","542.6","472.4",29086,7679
"199","BRACKNELL FOREST",2017,NA,NA,NA,NA,116,"6","8","19","50","33","6","6","20","21","14","563.6","597",28762,7371
