"","Location","year","Total.Both","Universal.Credit.or.Child.Tax.Credits","Proportion.Both","Total.Universal.Credit","Universal.Credit","Proportion.Universal.Credit","Total.Child.Tax.Credit","Child.Tax.Credit","Proportion.Child.Tax.Credit","Local.authority","children_in_care"
"554","Bracknell Forest",2023,"860","440","52%","600","360","59%","250","90","35%","BRACKNELL FOREST","157"
"555","Brighton and Hove",2023,"1,740","920","53%","1,070","650","60%","670","270","41%","BRIGHTON AND HOVE","345"
"556","Buckinghamshire",2023,"4,500","2,330","52%","2,660","1,640","62%","1,830","680","37%","BUCKINGHAMSHIRE","497"
"557","Isle of Wight",2023,"1,430","750","52%","910","560","61%","520","190","37%","ISLE OF WIGHT","288"
"558","Medway",2023,"3,730","2,140","57%","2,730","1,720","63%","1,000","420","42%","MEDWAY","465"
"559","Milton Keynes",2023,"3,800","1,950","51%","2,460","1,480","60%","1,340","480","35%","MILTON KEYNES","354"
"560","Portsmouth",2023,"2,640","1,410","53%","1,770","1,070","60%","870","340","39%","PORTSMOUTH","388"
"561","Reading",2023,"1,920","1,020","53%","1,180","750","63%","740","270","37%","READING","252"
"562","Slough",2023,"3,080","1,590","52%","1,780","1,070","60%","1,310","530","40%","SLOUGH","253"
"563","Southampton",2023,"3,390","1,820","54%","2,200","1,380","63%","1,190","450","37%","SOUTHAMPTON","538"
"564","West Berkshire",2023,"1,190","690","58%","890","580","65%","310","110","36%","WEST BERKSHIRE","197"
"565","Windsor and Maidenhead",2023,"870","460","52%","560","340","61%","320","110","36%","WINDSOR AND MAIDENHEAD","151"
"566","Wokingham",2023,"990","530","53%","690","420","61%","300","110","36%","WOKINGHAM","137"
"567","Bath and North East Somerset",2023,"1,230","640","52%","890","530","60%","340","110","32%","BATH AND NORTH EAST SOMERSET","228"
"568","Bournemouth, Christchurch and Poole",2023,"3,180","1,700","53%","2,070","1,310","63%","1,110","390","35%","BOURNEMOUTH CHRISTCHURCH AND POOLE","516"
"569","Bristol, City of",2023,"5,480","2,900","53%","3,280","2,000","61%","2,200","900","41%","BRISTOL","732"
"570","Cornwall",2023,"5,790","2,950","51%","3,780","2,250","60%","2,020","700","35%","CORNWALL","565"
"571","North Somerset",2023,"1,590","800","50%","1,080","630","58%","510","170","33%","NORTH SOMERSET","223"
"572","Plymouth",2023,"3,040","1,550","51%","2,040","1,230","60%","990","320","32%","PLYMOUTH","500"
"573","South Gloucestershire",2023,"2,170","1,120","52%","1,390","840","60%","780","280","36%","SOUTH GLOUCESTERSHIRE","256"
"574","Swindon",2023,"2,450","1,280","52%","1,710","1,040","61%","750","240","32%","SWINDON","338"
"575","Torbay",2023,"1,570","780","50%","990","580","58%","580","200","34%","TORBAY","314"
"576","Wiltshire",2023,"4,010","2,100","52%","2,820","1,700","60%","1,190","400","34%","WILTSHIRE","454"
"577","Birmingham",2023,"29,790","15,550","52%","16,290","10,110","62%","13,500","5,450","40%","BIRMINGHAM","2201"
"578","Coventry",2023,"5,790","3,160","54%","3,710","2,290","62%","2,080","860","41%","COVENTRY","724"
"579","Dudley",2023,"4,610","2,440","53%","2,860","1,820","63%","1,740","620","36%","DUDLEY","588"
"580","Herefordshire, County of",2023,"1,610","880","55%","1,040","680","65%","570","200","35%","HEREFORDSHIRE","412"
"581","Sandwell",2023,"7,330","3,900","53%","4,400","2,680","61%","2,940","1,220","41%","SANDWELL","800"
"582","Shropshire",2023,"2,600","1,390","53%","1,770","1,090","62%","830","290","36%","SHROPSHIRE","656"
"583","Solihull",2023,"2,180","1,160","53%","1,390","860","62%","790","310","39%","SOLIHULL","569"
"584","Stoke-on-Trent",2023,"5,060","2,740","54%","3,090","1,940","63%","1,980","800","41%","STOKE ON TRENT","1107"
"585","Telford and Wrekin",2023,"3,060","1,690","55%","2,090","1,320","63%","970","380","39%","TELFORD AND WREKIN","453"
"586","Walsall",2023,"5,990","3,250","54%","3,660","2,280","62%","2,330","960","41%","WALSALL","650"
"587","Wolverhampton",2023,"5,140","2,820","55%","3,430","2,140","63%","1,710","670","39%","WOLVERHAMPTON","501"
"588","Barnsley",2023,"3,210","1,710","53%","2,210","1,350","61%","1,000","360","36%","BARNSLEY","400"
"589","Bradford",2023,"13,840","6,890","50%","6,830","4,110","60%","7,010","2,780","40%","BRADFORD","1588"
"590","Calderdale",2023,"3,100","1,660","54%","1,810","1,150","63%","1,290","510","40%","CALDERDALE","356"
"591","Doncaster",2023,"4,540","2,470","54%","3,150","1,980","63%","1,390","490","35%","DONCASTER","542"
"592","East Riding of Yorkshire",2023,"2,660","1,370","52%","1,810","1,090","60%","850","280","33%","EAST RIDING OF YORKSHIRE","350"
"593","Kingston upon Hull, City of",2023,"4,630","2,560","55%","3,210","2,010","62%","1,420","550","39%","KINGSTON UPON HULL","773"
"594","Kirklees",2023,"7,230","3,760","52%","3,890","2,420","62%","3,340","1,340","40%","KIRKLEES","592"
"595","Leeds",2023,"11,350","6,160","54%","7,060","4,330","61%","4,300","1,830","43%","LEEDS","1450"
"596","North East Lincolnshire",2023,"2,460","1,350","55%","1,750","1,090","62%","710","260","36%","NORTH EAST LINCOLNSHIRE","575"
"597","North Lincolnshire",2023,"2,220","1,160","52%","1,530","940","61%","680","220","32%","NORTH LINCOLNSHIRE","188"
"598","Rotherham",2023,"3,780","1,950","52%","2,350","1,400","59%","1,430","550","39%","ROTHERHAM","542"
"599","Sheffield",2023,"8,170","4,200","51%","4,590","2,790","61%","3,580","1,420","40%","SHEFFIELD","653"
"600","Wakefield",2023,"4,660","2,570","55%","3,070","1,940","63%","1,590","640","40%","WAKEFIELD","635"
"601","York",2023,"1,260","630","50%","840","490","58%","430","140","33%","YORK","262"
"602",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","740"
"603",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","1875"
"604",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","464"
"605",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","995"
"606",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","681"
"607",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","728"
"608",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","z"
"609",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","961"
"610",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1384"
"611",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","778"
"612",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","1000"
"613",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","646"
"614",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1164"
"615",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","965"
"616",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORFOLK","1213"
"617",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUFFOLK","983"
"618",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST SUSSEX","661"
"619",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMPSHIRE","1853"
"620",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENT","1942"
"621",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORDSHIRE","881"
"622",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURREY","1013"
"623",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST SUSSEX","887"
"624",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH","z"
"625",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POOLE","z"
"626",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLES OF SCILLY","0"
"627",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEVON","893"
"628",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOUCESTERSHIRE","864"
"629",NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMERSET","564"
"630",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","734"
"631",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","1934"
"632",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","430"
"633",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","912"
"634",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","696"
"635",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","736"
"636",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","z"
"637",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","958"
"638",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1303"
"639",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","821"
"640",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","891"
"641",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","594"
"642",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1118"
"643",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","1022"
"644",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORFOLK","1089"
"645",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUFFOLK","915"
"646",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST SUSSEX","627"
"647",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMPSHIRE","1726"
"648",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENT","1777"
"649",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORDSHIRE","855"
"650",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURREY","1048"
"651",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST SUSSEX","861"
"652",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH","z"
"653",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POOLE","z"
"654",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLES OF SCILLY","0"
"655",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEVON","819"
"656",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOUCESTERSHIRE","836"
"657",NA,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMERSET","548"
"658",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","736"
"659",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","1995"
"660",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","422"
"661",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH NORTHAMPTONSHIRE","z"
"662",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST NORTHAMPTONSHIRE","z"
"663",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","899"
"664",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","706"
"665",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","680"
"666",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","1144"
"667",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","993"
"668",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1242"
"669",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","861"
"670",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","859"
"671",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","640"
"672",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1080"
"673",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","991"
"674",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORFOLK","1083"
"675",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUFFOLK","946"
"676",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST SUSSEX","610"
"677",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMPSHIRE","1661"
"678",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENT","1662"
"679",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORDSHIRE","782"
"680",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURREY","995"
"681",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST SUSSEX","891"
"682",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH","z"
"683",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POOLE","z"
"684",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEVON","812"
"685",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOUCESTERSHIRE","784"
"686",NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMERSET","517"
"687",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HARTLEPOOL","311"
"688",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MIDDLESBROUGH","618"
"689",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"REDCAR AND CLEVELAND","344"
"690",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOCKTON ON TEES","575"
"691",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DARLINGTON","270"
"692",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DURHAM","914"
"693",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHUMBERLAND","434"
"694",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEWCASTLE UPON TYNE","663"
"695",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH TYNESIDE","297"
"696",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH TYNESIDE","294"
"697",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUNDERLAND","583"
"698",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GATESHEAD","414"
"699",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HALTON","277"
"700",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARRINGTON","364"
"701",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLACKBURN WITH DARWEN","411"
"702",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BLACKPOOL","653"
"703",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHESHIRE EAST","534"
"704",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CHESHIRE WEST AND CHESTER","488"
"705",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOLTON","632"
"706",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BURY","342"
"707",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MANCHESTER","1410"
"708",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OLDHAM","522"
"709",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROCHDALE","535"
"710",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SALFORD","558"
"711",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOCKPORT","368"
"712",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TAMESIDE","704"
"713",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TRAFFORD","377"
"714",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIGAN","534"
"715",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KNOWSLEY","307"
"716",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LIVERPOOL","1423"
"717",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ST HELENS","496"
"718",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEFTON","566"
"719",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WIRRAL","811"
"720",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CUMBRIA","721"
"721",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LANCASHIRE","2095"
"722",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KINGSTON UPON HULL","869"
"723",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST RIDING OF YORKSHIRE","340"
"724",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH EAST LINCOLNSHIRE","572"
"725",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH LINCOLNSHIRE","231"
"726",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"YORK","263"
"727",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BARNSLEY","300"
"728",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DONCASTER","506"
"729",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROTHERHAM","595"
"730",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHEFFIELD","628"
"731",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRADFORD","1246"
"732",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CALDERDALE","330"
"733",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KIRKLEES","665"
"734",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEEDS","1344"
"735",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WAKEFIELD","635"
"736",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH YORKSHIRE","443"
"737",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBY","588"
"738",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTER","608"
"739",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RUTLAND","43"
"740",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAM","656"
"741",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH NORTHAMPTONSHIRE","z"
"742",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST NORTHAMPTONSHIRE","z"
"743",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DERBYSHIRE","862"
"744",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEICESTERSHIRE","654"
"745",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LINCOLNSHIRE","622"
"746",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTHAMPTONSHIRE","1157"
"747",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOTTINGHAMSHIRE","909"
"748",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HEREFORDSHIRE","351"
"749",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TELFORD AND WREKIN","403"
"750",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STOKE ON TRENT","917"
"751",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SHROPSHIRE","399"
"752",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BIRMINGHAM","1915"
"753",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COVENTRY","698"
"754",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DUDLEY","623"
"755",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SANDWELL","863"
"756",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOLIHULL","463"
"757",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WALSALL","669"
"758",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOLVERHAMPTON","588"
"759",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"STAFFORDSHIRE","1218"
"760",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WARWICKSHIRE","755"
"761",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WORCESTERSHIRE","819"
"762",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PETERBOROUGH","369"
"763",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LUTON","385"
"764",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTHEND ON SEA","309"
"765",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"THURROCK","297"
"766",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEDFORD","253"
"767",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CENTRAL BEDFORDSHIRE","316"
"768",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMBRIDGESHIRE","717"
"769",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ESSEX","1073"
"770",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HERTFORDSHIRE","948"
"771",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORFOLK","1105"
"772",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SUFFOLK","936"
"773",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MEDWAY","426"
"774",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRACKNELL FOREST","142"
"775",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST BERKSHIRE","156"
"776",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"READING","277"
"777",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SLOUGH","195"
"778",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WINDSOR AND MAIDENHEAD","116"
"779",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOKINGHAM","98"
"780",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MILTON KEYNES","403"
"781",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRIGHTON AND HOVE","371"
"782",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PORTSMOUTH","468"
"783",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTHAMPTON","486"
"784",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLE OF WIGHT","261"
"785",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BUCKINGHAMSHIRE","484"
"786",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EAST SUSSEX","580"
"787",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMPSHIRE","1601"
"788",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENT","1806"
"789",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OXFORDSHIRE","767"
"790",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SURREY","983"
"791",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WEST SUSSEX","806"
"792",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BATH AND NORTH EAST SOMERSET","180"
"793",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRISTOL","622"
"794",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NORTH SOMERSET","231"
"795",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTH GLOUCESTERSHIRE","210"
"796",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PLYMOUTH","434"
"797",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TORBAY","354"
"798",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH","z"
"799",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POOLE","z"
"800",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SWINDON","301"
"801",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CORNWALL","474"
"802",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLES OF SCILLY","c"
"803",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WILTSHIRE","458"
"804",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOURNEMOUTH CHRISTCHURCH AND POOLE","506"
"805",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DEVON","749"
"806",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GLOUCESTERSHIRE","730"
"807",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOMERSET","529"
"808",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CAMDEN","189"
"809",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HACKNEY","431"
"810",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HAMMERSMITH AND FULHAM","256"
"811",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HARINGEY","403"
"812",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ISLINGTON","365"
"813",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KENSINGTON AND CHELSEA","106"
"814",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LAMBETH","361"
"815",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LEWISHAM","473"
"816",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEWHAM","411"
"817",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOUTHWARK","458"
"818",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TOWER HAMLETS","307"
"819",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WANDSWORTH","277"
"820",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WESTMINSTER","220"
"821",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BARKING AND DAGENHAM","402"
"822",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BARNET","327"
"823",NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BEXLEY","221"
