"","Location","year","Total.Both","Universal.Credit.or.Child.Tax.Credits","Proportion.Both","Total.Universal.Credit","Universal.Credit","Proportion.Universal.Credit","Total.Child.Tax.Credit","Child.Tax.Credit","Proportion.Child.Tax.Credit","Local.authority","children_in_care"
"370","Croydon",2022,"5,600","2,640","47%","3,460","1,910","55%","2,140","730","34%","CROYDON","544"
"371","Ealing",2022,"4,840","2,070","43%","2,290","1,210","53%","2,560","860","34%","EALING","328"
"372","Enfield",2022,"5,980","2,650","44%","2,760","1,550","56%","3,210","1,100","34%","ENFIELD","383"
"373","Greenwich",2022,"4,500","2,050","46%","2,370","1,300","55%","2,130","750","35%","GREENWICH","460"
"374","Hackney",2022,"5,530","2,980","54%","1,760","950","54%","3,770","2,020","54%","HACKNEY","405"
"375","Hammersmith and Fulham",2022,"1,630","720","44%","900","480","54%","730","240","33%","HAMMERSMITH AND FULHAM","215"
"376","Haringey",2022,"3,600","1,730","48%","1,590","870","55%","2,010","860","43%","HARINGEY","387"
"377","Harrow",2022,"3,480","1,610","46%","1,640","950","58%","1,840","660","36%","HARROW","188"
"378","Havering",2022,"2,780","1,260","45%","1,580","850","54%","1,200","410","34%","HAVERING","265"
"379","Hillingdon",2022,"4,150","1,880","45%","2,030","1,090","54%","2,120","790","37%","HILLINGDON","401"
"380","Hounslow",2022,"3,860","1,790","46%","2,370","1,310","55%","1,490","480","32%","HOUNSLOW","296"
"381","Islington",2022,"2,490","1,150","46%","1,160","630","54%","1,330","520","39%","ISLINGTON","385"
"382","Kensington and Chelsea",2022,"770","340","44%","370","210","56%","400","130","33%","KENSINGTON AND CHELSEA","101"
"383","Kingston upon Thames",2022,"1,160","530","46%","630","350","56%","540","180","34%","KINGSTON UPON THAMES","133"
"384","Lambeth",2022,"3,530","1,520","43%","1,820","960","53%","1,710","550","32%","LAMBETH","402"
"385","Lewisham",2022,"3,970","1,890","48%","2,040","1,140","56%","1,940","750","39%","LEWISHAM","463"
"386","Merton",2022,"2,080","890","43%","1,120","590","52%","950","300","31%","MERTON","122"
"387","Newham",2022,"7,650","3,470","45%","3,380","1,950","58%","4,270","1,520","36%","NEWHAM","431"
"388","Redbridge",2022,"4,380","1,950","45%","2,110","1,160","55%","2,270","790","35%","REDBRIDGE","285"
"389","Richmond upon Thames",2022,"840","380","45%","490","260","53%","350","120","34%","RICHMOND UPON THAMES","129"
"390","Southwark",2022,"4,000","1,810","45%","2,330","1,270","55%","1,670","540","32%","SOUTHWARK","457"
"391","Sutton",2022,"1,840","870","47%","1,210","670","55%","630","200","32%","SUTTON","236"
"392","Tower Hamlets",2022,"6,840","3,310","48%","2,990","1,830","61%","3,850","1,480","38%","TOWER HAMLETS","332"
"393","Waltham Forest",2022,"4,080","1,810","44%","1,920","1,040","54%","2,170","770","36%","WALTHAM FOREST","328"
"394","Wandsworth",2022,"2,950","1,310","44%","1,390","760","55%","1,560","550","35%","WANDSWORTH","243"
"395","Westminster",2022,"1,630","700","43%","710","370","52%","920","330","36%","WESTMINSTER","171"
